"ID_FGD"	"ID_HOUSEHOLD"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"
"602"	600	"602"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"603"	600	"603"	2.04882145842512	0.665314214640963	0.701665409432376	2.59313532107453	6.78476190476191
"604"	600	"604"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"605"	600	"605"	4.42748345800346	0.689652445611948	0.666058249794103	3.55795256424344	13.7164902998236
"607"	600	"607"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"608"	600	"608"	4.42748345800346	0.573302464959001	0.67121093992297	3.52395509186621	13.8336507936508
"610"	600	"610"	NA	NA	NA	2.36308403929246	6.28218694885362
"611"	600	"611"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"613"	600	"613"	0.651559597563357	0.768615292035812	0.802512767206872	2.15845277203695	4.90652557319224
"614"	600	"614"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"616"	600	"616"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"617"	600	"617"	8.13111863995463	0.5	0.738144158201864	3.2981267210088	12.2848124098124
"618"	600	"618"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"619"	600	"619"	4.84148339233261	0.705490197570839	0.667660802625261	2.7425813242878	8.50539121372455
"620"	600	"620"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"621"	600	"621"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"623"	600	"623"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"624"	600	"624"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"626"	600	"626"	7.57949290064503	0.666666666666667	0.766897001386137	3.17459980376307	10.8712265512266
"627"	600	"627"	9.51055723557632	0.75	0.779899026941212	3.35427746856969	11.5862995029662
"628"	600	"628"	3.87994374317524	0.965600913764603	0.748330665791906	3.04989834412782	9.7863455988456
"629"	600	"629"	8.53448534905353	0.731565515363805	0.759827859024743	3.82045576052507	15.7706028539362
"630"	600	"630"	9.24230135036526	0.749002309675889	0.819568017937381	3.32950630029904	11.8835778419112
"631"	600	"631"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"632"	600	"632"	6.07617642183806	0.659288564797689	0.671661839529811	3.01814665372489	9.53207296176046
"633"	600	"633"	4.13813163745923	0.745494467402195	0.767342634359458	3.57961206009722	13.5294211960879
"634"	600	"634"	2.04882145842512	0.665314214640963	0.65781149290663	2.45170981723026	6.28952380952381
"635"	600	"635"	31.9019264110071	0.802479398754188	0.803646196963458	4.28111172467255	20.0085778419112
"636"	600	"636"	6.63382874401462	0.89909186674263	0.728580676667416	3.30880319168829	11.1868887285554
"637"	600	"637"	7.57949290064503	0.699034788279263	0.689024628496659	3.15398463339374	10.6147386564053
"638"	600	"638"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"639"	600	"639"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"640"	600	"640"	3.86773750732693	0.882261814466838	0.82087656529133	3.03410054402018	9.28102453102453
"641"	600	"641"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"642"	600	"642"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"643"	600	"643"	2.73857799908317	0.666666666666667	0.819621110955194	2.75861769175493	8.09789321789322
"644"	600	"644"	2.04882145842512	0.665314214640963	0.701665409432376	2.59313532107453	6.78476190476191
"645"	600	"645"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"646"	600	"646"	2.73857799908317	0.666666666666667	0.819621110955194	2.75861769175493	8.09789321789322
"647"	600	"647"	7.57949290064503	0.699034788279263	0.689024628496659	3.15398463339374	10.6147386564053
"648"	600	"648"	6.25224763154542	0.687013661498976	0.643649562742145	3.4012361481975	13.0143298059965
"649"	600	"649"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"650"	600	"650"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"651"	600	"651"	2.04882145842512	0.665314214640963	0.701665409432376	2.59313532107453	6.78476190476191
"652"	600	"652"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"653"	600	"653"	3.86773750732693	0.728239726895559	0.812844882323838	2.98997561275118	9.14919031585698
"654"	600	"654"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"655"	600	"655"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"656"	600	"656"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
"657"	600	"657"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"658"	600	"658"	0.651559597563357	0.768615292035812	0.802512767206872	2.15845277203695	4.90652557319224
"659"	600	"659"	7.57949290064503	0.699034788279263	0.689024628496659	3.15398463339374	10.6147386564053
"660"	600	"660"	2.38756384681279	0.85969557095016	0.710136306481217	3.25915350899053	11.6793650793651
"661"	600	"661"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"662"	600	"662"	2.04882145842512	0.5	0.663808566459905	2.58577250989472	6.72354497354497
"663"	600	"663"	2.73857799908317	0.714210328540704	0.818108826179033	2.85057920546632	8.33629950296617
