"ID_FGD"	"ID_HOUSEHOLD"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"
"501"	500	"501"	0	0	0	6.83504405165516e-16	0
"502"	500	"502"	0	0	0	8.76286234096159e-16	0
"503"	500	"503"	0	0	0	0.872062972015493	0.855555555555556
"504"	500	"504"	0	0	0	6.47560981152063e-16	0
"505"	500	"505"	0	0	0	6.47560981152063e-16	0
"506"	500	"506"	2.52023521230944	0.2	0.876526089735776	1.70149538147959	2.90086805555556
"507"	500	"507"	0	0	0	8.87188644414161e-16	0
"508"	500	"508"	1.01089637884412	0.166666666666667	0.951902980582004	0.705940599190249	0.872265625
"510"	500	"510"	0	0	0	0.627885339851155	0.616
"511"	500	"511"	0	0	0	0.784445624802384	1.10763888888889
"512"	500	"512"	0.298452975364586	0.25	0.795418527902059	1.61918198799195	2.74236111111111
"513"	500	"513"	0	0	0	6.83504405165516e-16	0
"514"	500	"514"	0	0	0	6.83504405165516e-16	0
"515"	500	"515"	0.298452975364586	0.166666666666667	0.837616642916695	1.43413679961359	2.410546875
"516"	500	"516"	0	0	0	6.84430111682025e-16	0
"517"	500	"517"	0	0	0	0.761628600434621	0.7734375
"518"	500	"518"	0	0	0	6.84430111682025e-16	0
"519"	500	"519"	3.23267861578898	0.285714285714286	0.854302762999015	1.36689252701923	2.0641975308642
"520"	500	"520"	0	0	0	0.480524494784047	0.471428571428572
"522"	500	"522"	0.712443403479537	0.166666666666667	0.852828571868688	0.9026756810908	1.19453125
"523"	500	"523"	0	0	0	8.76286234096159e-16	0
"524"	500	"524"	0	0	0	7.20487078639976e-16	0
"525"	500	"525"	0	0	0	8.3121381326697e-16	0
"526"	500	"526"	0	0	0	7.26290414530938e-16	0
"527"	500	"527"	0	0	0	8.80533045363373e-16	0
"528"	500	"528"	2.81868818767403	0.333333333333333	0.840391484648753	1.20729245693737	1.91640625
"529"	500	"529"	0	0	0	8.80533045363373e-16	0
"530"	500	"530"	0	0	0	7.26290414530938e-16	0
"531"	500	"531"	0	0	0	0.784445624802384	1.10763888888889
"532"	500	"532"	0.298452975364586	0.25	0.79720515256369	1.23167232792627	1.98611111111111
"533"	500	"533"	0	0	0	0.649923072370877	0.66
"534"	500	"534"	0	0	0	1.28497303250766e-15	0
"535"	500	"535"	0.298452975364586	0.25	0.795418527902059	1.61918198799195	2.74236111111111
"536"	500	"536"	0	0	0	1.28497303250766e-15	0
"537"	500	"537"	0.298452975364586	0.166666666666667	0.837616642916695	1.43413679961359	2.410546875
"538"	500	"538"	0	0	0	0.564169333655275	0.572916666666667
"539"	500	"539"	0	0	0	0.735803132638072	0.721875
"540"	500	"540"	0	0	0	0.84214280150446	1.44795918367347
"541"	500	"541"	0	0	0	8.3121381326697e-16	0
"542"	500	"542"	0	0	0	6.84430111682025e-16	0
"543"	500	"543"	0	0	0	1.15265479562799	1.62755102040816
"544"	500	"544"	0	0	0	0.497390106406283	0.505102040816327
"545"	500	"545"	2.52023521230944	0.333333333333333	0.80626980829671	1.32844189381639	2.109765625
"546"	500	"546"	0	0	0	0.497390106406283	0.505102040816327
"547"	500	"547"	0	0	0	8.3121381326697e-16	0
"548"	500	"548"	0.298452975364586	0.25	0.79720515256369	1.23167232792627	1.98611111111111
"549"	500	"549"	0	0	0	8.87188644414161e-16	0
"550"	500	"550"	0	0	0	0.955208270224966	1.64236111111111
"551"	500	"551"	0	0	0	0.545039357509683	0.534722222222222
"552"	500	"552"	0	0	0	8.87188644414161e-16	0
