"ID_FGD"	"ID_HOUSEHOLD"	"FRic"	"FEve"	"FDis"	"RaoQ"
"401"	400	"401"	0	0	0.752225778207034	1.01851851851852
"402"	400	"402"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"403"	400	"403"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"404"	400	"404"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"405"	400	"405"	0	0	0.752225778207034	1.01851851851852
"406"	400	"406"	0	0	0.866564096494503	1.17333333333333
"407"	400	"407"	3.36804839632687	0.25	1.49092278558636	2.48900462962963
"408"	400	"408"	0	0	0.866564096494503	1.17333333333333
"409"	400	"409"	0	0	0.752225778207034	1.01851851851852
"410"	400	"410"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"411"	400	"411"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"412"	400	"412"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"413"	400	"413"	0	0	0.866564096494503	1.17333333333333
"414"	400	"414"	3.36804839632687	0.25	1.49092278558636	2.48900462962963
"415"	400	"415"	3.36804839632687	0.25	1.49092278558636	2.48900462962963
"416"	400	"416"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"417"	400	"417"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"418"	400	"418"	0	0	0.866564096494503	1.17333333333333
"419"	400	"419"	0	0	0.866564096494503	1.17333333333333
"420"	400	"420"	0	0	0.752225778207034	1.01851851851852
"421"	400	"421"	3.36804839632687	0.25	1.44559306689936	2.39351851851852
"422"	400	"422"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"423"	400	"423"	0	0	0.752225778207034	1.01851851851852
"424"	400	"424"	0	0	0.752225778207034	1.01851851851852
"425"	400	"425"	0	0	0.752225778207034	1.01851851851852
"426"	400	"426"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"427"	400	"427"	0	0	1.35400640077266	1.83333333333333
"428"	400	"428"	0	0	0.752225778207034	1.01851851851852
"429"	400	"429"	0	0	0.752225778207034	1.01851851851852
"430"	400	"430"	0	0	0.752225778207034	1.01851851851852
"431"	400	"431"	0	0	0.866564096494503	1.17333333333333
"432"	400	"432"	0	0	0.795989949685296	0.99
"433"	400	"433"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"434"	400	"434"	0	0	0.752225778207034	1.01851851851852
"435"	400	"435"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"436"	400	"436"	0	0	0.690963497990708	0.859375
"437"	400	"437"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"438"	400	"438"	0	0	0.866564096494503	1.17333333333333
"439"	400	"439"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"440"	400	"440"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"441"	400	"441"	0	0	0.866564096494503	1.17333333333333
"442"	400	"442"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"443"	400	"443"	0	0	0.752225778207034	1.01851851851852
"444"	400	"444"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"445"	400	"445"	0	0	0.866564096494503	1.17333333333333
"446"	400	"446"	0	0	2.45662105872731e-16	0
"447"	400	"447"	0	0	0.866564096494503	1.17333333333333
"448"	400	"448"	0	0	0.752225778207034	1.01851851851852
"449"	400	"449"	0	0	2.49027998846051e-16	0
"450"	400	"450"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"451"	400	"451"	3.36804839632687	0.25	1.38254010289718	2.39351851851852
"452"	400	"452"	0	0	0.752225778207034	1.01851851851852
"453"	400	"453"	0	0	0	0
"454"	400	"454"	0	0	0.752225778207034	1.01851851851852
"455"	400	"455"	0	0	0.752225778207034	1.01851851851852
"456"	400	"456"	0	0	0.752225778207034	1.01851851851852
"457"	400	"457"	3.36804839632687	0.2	1.02022902306728	1.65561224489796
"458"	400	"458"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"459"	400	"459"	3.36804839632687	0.25	1.14454642607858	1.87789351851852
"460"	400	"460"	3.36804839632687	0.5	1.48681413081108	2.53515625
