"ID_FGD"	"ID_HOUSEHOLD"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"
"602"	600	"602"	0	0	0	1.39642400437689	1.95
"603"	600	"603"	0	0	0	1.34056704420182	1.872
"604"	600	"604"	0	0	0	1.39642400437689	1.95
"605"	600	"605"	1.88922830653633	0.5	0.696893690051189	2.0907885083166	4.76666666666667
"607"	600	"607"	0	0	0	1.39642400437689	1.95
"608"	600	"608"	1.21956689642911	0.333333333333333	0.708724145668195	2.00350318515852	4.6176
"610"	600	"610"	0	0	0	1.24126578166835	1.73333333333333
"611"	600	"611"	0	0	0	1.39642400437689	1.95
"613"	600	"613"	0	0	0	1.24126578166835	1.73333333333333
"614"	600	"614"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"616"	600	"616"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"617"	600	"617"	0.895789834614283	0.25	0.728116883360722	1.7233204574015	3.25
"618"	600	"618"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"619"	600	"619"	3.26759559706408	0.5	0.70722751184022	1.76766631194091	3.93939393939394
"620"	600	"620"	0	0	0	1.39642400437689	1.95
"621"	600	"621"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"623"	600	"623"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"624"	600	"624"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"626"	600	"626"	0.323777061814829	0.333333333333333	0.745969224892315	1.66123979621168	3.12
"627"	600	"627"	0.323777061814832	0.25	0.777773607046349	1.89465296911375	3.68333333333333
"628"	600	"628"	0.323777061814832	0.5	0.702952296528028	1.8002969184584	3.4125
"629"	600	"629"	7.43686736677628	0.5	0.753220116768665	2.39206201370859	6.53939393939394
"630"	600	"630"	3.5913726588789	0.5	0.644901677592517	1.96667741258302	4.58939393939394
"631"	600	"631"	0	0	0	1.39642400437689	1.95
"632"	600	"632"	3.59137265887891	0.333333333333333	0.67832005046539	1.9167275172079	4.19914772727273
"633"	600	"633"	0.895789834614282	0.954451150104248	0.724460894202287	1.91524500611088	3.81333333333333
"634"	600	"634"	0	0	0	1.34056704420182	1.872
"635"	600	"635"	16.8088942897638	0.727500442677606	0.748533078268447	3.06046738072241	10.5693939393939
"636"	600	"636"	4.59885491761641	0.75	0.732801781772187	2.37396948111061	5.86969696969697
"637"	600	"637"	0.323777061814829	0.25	0.644672139802009	1.67899352000825	3.03333333333333
"638"	600	"638"	0	0	0	1.39642400437689	1.95
"639"	600	"639"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"640"	600	"640"	2.66251864110465	0.5	0.772941015994411	2.14381669575813	4.78636363636364
"641"	600	"641"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"642"	600	"642"	0	0	0	1.39642400437689	1.95
"643"	600	"643"	1.33125932055232	0.333333333333333	0.668280374843436	1.5957496173786	3.29018181818182
"644"	600	"644"	0	0	0	1.34056704420182	1.872
"645"	600	"645"	0	0	0	1.39642400437689	1.95
"646"	600	"646"	1.33125932055232	0.333333333333333	0.668280374843436	1.5957496173786	3.29018181818182
"647"	600	"647"	0.323777061814829	0.25	0.644672139802009	1.67899352000825	3.03333333333333
"648"	600	"648"	1.21956689642911	0.25	0.738945300800195	1.91877971811728	4.33333333333333
"649"	600	"649"	0	0	0	1.39642400437689	1.95
"650"	600	"650"	0	0	0	1.39642400437689	1.95
"651"	600	"651"	0	0	0	1.34056704420182	1.872
"652"	600	"652"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"653"	600	"653"	2.66251864110465	0.5	0.77551596194813	2.05420847474788	4.56969696969697
"654"	600	"654"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"655"	600	"655"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"656"	600	"656"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"657"	600	"657"	0	0	0	1.39642400437689	1.95
"658"	600	"658"	0	0	0	1.24126578166835	1.73333333333333
"659"	600	"659"	0.323777061814829	0.25	0.644672139802009	1.67899352000825	3.03333333333333
"660"	600	"660"	1.88922830653633	0.666666666666667	0.682896658264374	2.04823542341931	4.6176
"661"	600	"661"	0	0	0	1.39642400437689	1.95
"662"	600	"662"	0	0	0	1.39642400437689	1.95
"663"	600	"663"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"664"	600	"664"	2.66251864110465	0.5	0.77551596194813	2.05420847474788	4.56969696969697
"665"	600	"665"	6.00572465470643	0.5	0.725411756489009	2.55422150607314	8.01666666666667
"666"	600	"666"	2.66251864110465	0.5	0.772941015994411	2.14381669575813	4.78636363636364
"667"	600	"667"	0	0	0	1.39642400437689	1.95
"668"	600	"668"	1.33125932055233	0.25	0.690177530399489	1.72403025822052	3.50606060606061
"669"	600	"669"	0	0	0	1.34056704420182	1.872
"670"	600	"670"	0	0	0	1.39642400437689	1.95
"672"	600	"672"	2.66251864110465	0.5	0.77551596194813	2.05420847474788	4.56969696969697
"673"	600	"673"	0	0	0	1.39642400437689	1.95
